,price,accommodates,review_scores_location,host_is_superhost_t,host_has_profile_pic_t,host_identity_verified_t,instant_bookable_t,bathroom_type_shared,bathrooms,host_response_rate,distance_from_city_center_km
215,897.0,3,4.92,0,1,1,1,1,1.5,0.99,1.6882441788437208
216,1533.0,4,4.6,1,1,1,0,0,1.0,1.0,1.2930164308668033
217,3840.0,8,4.88,0,1,1,1,0,1.0,0.9,1.836794580612809
220,650.0,2,4.79,0,1,1,0,1,1.0,0.0,0.3554090754803663
221,3744.0,2,4.96,0,1,1,1,0,1.0,1.0,1.9058467304724245
222,2133.0,4,4.75,0,1,1,1,0,1.0,1.0,2.778469094632376
223,1123.0,4,4.88,0,1,1,1,0,1.0,1.0,0.364078482208078
224,5000.0,3,4.86,1,1,1,0,0,1.0,1.0,2.251726481215407
225,2257.0,4,4.77,1,1,1,0,0,1.0,1.0,5.900576007337689
226,3853.0,6,4.7,0,1,1,0,0,2.0,0.75,4.805020934938299
227,1349.0,6,4.7,0,1,1,1,0,1.0,1.0,2.4957189856422946
229,1012.0,2,4.89,0,1,1,0,0,1.0,0.0,3.477776167464673
230,858.0,1,4.89,0,1,1,0,0,1.0,1.0,2.680079202850042
232,441.0,2,4.67,1,1,1,0,0,1.0,1.0,2.400906201303728
234,6316.0,8,4.8,0,1,1,0,0,3.0,1.0,0.7632599636346842
235,2991.0,7,4.97,1,1,1,1,0,1.5,1.0,2.1960997526153903
236,2200.0,6,4.89,0,1,1,1,0,1.0,1.0,1.8535301318885107
237,3135.0,9,4.91,0,1,1,1,0,2.0,1.0,1.3597803112830067
238,1100.0,2,4.48,0,1,1,0,0,1.0,1.0,2.0166820877099636
240,972.0,2,4.64,0,1,1,0,0,1.0,1.0,5.952926921589102
241,3398.0,2,5.0,1,1,1,0,0,1.0,1.0,1.6735620943145229
242,1429.0,2,4.75,1,1,1,1,0,1.0,1.0,1.1535550996691222
243,1405.0,2,4.74,1,1,1,1,0,1.0,1.0,1.1637570760435596
244,1426.0,2,4.57,1,1,1,1,0,1.0,1.0,1.1668261742028094
245,1408.0,2,4.7,1,1,1,1,0,1.0,1.0,1.1589588015424446
246,2049.0,2,4.82,1,1,1,0,0,1.5,1.0,1.448666208764143
247,2500.0,2,5.0,0,1,1,0,0,2.0,0.5,2.9389747187075224
249,3408.0,4,4.72,1,1,1,0,0,1.5,1.0,1.607759236729052
250,2868.0,4,4.97,1,1,1,1,0,1.5,0.97,2.5862595643642368
251,1500.0,3,4.63,0,1,1,0,0,1.5,1.0,1.016303587168144
252,3433.0,6,4.99,1,1,1,0,0,1.5,1.0,3.103516286370891
254,2011.0,2,4.87,0,1,1,0,1,1.5,1.0,2.697904801688992
255,4254.0,4,4.89,1,1,1,1,0,1.5,1.0,0.8081456952382378
